88|1|2|8,12|1,76
89|1|2|8,13|13,50
90|1|2|8,14|14,50,68
91|1|2|8,15|1,76
92|1|2|8,16|50
93|1|2|8,17|4,50
94|1|2|10|15
95|1|2|10,12|4,15
96|1|2|10,13|1,73
97|1|2|10,14|1,42
98|1|2|10,15|1,15
99|1|2|10,16|1,76
100|1|2|10,17|1,16
101|1|2|11|30,50
102|1|2|11,12|1,11,76
103|1|2|11,13|13,50
104|1|2|11,14|8,14,50
105|1|2|11,15|1,15,76
106|1|2|11,16|6
107|1|2|11,17|30,81
108|1|2|12|1,11,76
109|1|2|12,15|1,15,76
110|1|2|12,16|1,6,76
111|1|2|12,17|11,15
112|1|2|13|7,13,50
113|1|2|13,14|8,13,14,50
114|1|2|13,15|1,76
115|1|2|13,16|83
116|1|2|13,17|13,68,81
117|1|2|14|8,14,50
118|1|2|14,15|1,11,76
119|1|2|14,16|6,50
120|1|2|14,17|14,64,81
121|1|2|15|11,15
122|1|2|15,16|6,11,50
123|1|2|15,17|1,4,76
124|1|2|16|6,50
125|1|2|16,17|4,6
126|1|2|17|4,50,81
129|1|7||1
130|1|7|1|21
131|1|7|1,3|12,21
132|1|7|1,5|4
133|1|7|1,6|6
134|1|7|1,5,6|6
135|1|7|2,5|4
136|1|7|2,6|6
137|1|7|3,5|83
138|1|7|3,6|6
139|1|7|4,5|6,14,68,81
140|1|7|5,6|6
141|1|7|5,7|6,46
142|1|7|5,8|6,8
143|1|7|5,11|4,6,30
144|1|7|5,13|6,30
145|1|7|5,14|6,14
146|1|7|5,16|6
147|1|7|5,17|6,14
148|1|7|6|6
149|1|7|6,7|6
150|1|7|6,8|6
151|1|7|6,9|6
152|1|7|6,11|6,30
153|1|7|6,13|6
154|1|7|6,14|6
155|1|7|6,16|6
156|1|7|6,17|6,14
157|1|7|6,16,17|6,14
158|1|7|8|6,8
159|1|7|8,11|6,8,30
160|1|7|8,13|6,14,50
161|1|7|9|21,38
162|1|7|9,10|12,21
163|1|7|10|15,21
164|1|7|10,12|21
165|1|7|10,13|1,21
166|1|7|10,14|1,21
167|1|7|11|6,30
168|1|7|11,13|6,13
169|1|7|11,14|6,14
170|1|7|11,16|6,68
171|1|7|11,17|6,14,30
172|1|7|12|12,15
173|1|7|12,15|15,21
174|1|7|12,16|6,11
175|1|7|13|6
176|1|7|13,14|6,30
177|1|7|13,16|6,72
178|1|7|13,17|6,30,81
179|1|7|14|1,6
180|1|7|14,16|6
181|1|7|14,17|6,30,81
182|1|7|15|1,15
183|1|7|15,16|1
184|1|7|15,17|81
185|1|7|16|4,6
186|1|7|16,17|4,81
187|1|7|17|6
188|1|11||16
189|1|11|1|50,76
190|1|11|1,3|16
191|1|11|1,4|50,76
192|1|11|1,5|30
193|1|11|1,6|6,76
194|1|11|1,7|46
195|1|11|1,8|50
196|1|11|1,9|16
197|1|11|1,10|16
198|1|11|1,11|14,30
199|1|11|1,12|50,76
200|1|11|1,13|50,76
201|1|11|1,14|50,76
202|1|11|1,15|15
203|1|11|1,16|4
204|1|11|1,17|4,30,81
205|1|11|2|50,76
206|1|11|2,3|1,16
207|1|11|2,4|4,30
208|1|11|2,5|4,37,81
209|1|11|2,6|6,30
210|1|11|2,7|46
211|1|11|2,8|50,76
212|1|11|2,10|16,83
213|1|11|2,11|14
214|1|11|2,12|11
215|1|11|2,13|30
216|1|11|2,14|14,30
217|1|11|2,15|11,15
218|1|11|2,16|16
219|1|11|2,17|4,68,81
220|1|11|3|1,83
221|1|11|3,5|1,81
222|1|11|3,6|56,62
223|1|11|3,7|1,56
224|1|11|3,8|1,56
225|1|11|3,9|83
226|1|11|3,10|73
227|1|11|3,12|11,16
228|1|11|3,13|62,83
229|1|11|3,14|62,83
230|1|11|3,15|15
231|1|11|3,16|56,62
232|1|11|3,17|16,83
233|1|11|4|14,30
234|1|11|4,5|14,68,81
235|1|11|4,9|16,83
236|1|11|4,10|1,62
237|1|11|4,12|11
238|1|11|4,14|14,30
239|1|11|4,15|1,62
240|1|11|4,17|4,68,81
241|1|11|5|14,30,81
242|1|11|5,6|6,81
243|1|11|5,7|46,81
244|1|11|5,8|50,81
245|1|11|5,9|83
246|1|11|5,11|11,30,68,81
247|1|11|5,13|14,81
248|1|11|5,14|14,81
249|1|11|5,16|6,81
250|1|11|5,17|4,68,81
251|1|11|6|6,30
252|1|11|6,7|6,46
253|1|11|6,8|6,50
254|1|11|6,9|6
255|1|11|6,11|6,30
256|1|11|6,13|6,30
257|1|11|6,14|6,30
258|1|11|6,16|6
259|1|11|6,17|6,11,81
260|1|11|7|30,46
261|1|11|7,8|46,50
262|1|11|7,10|1,62
263|1|11|7,11|11,30,46
264|1|11|7,13|30,46
265|1|11|7,14|30,46
266|1|11|7,16|46
267|1|11|7,17|46,68,81
268|1|11|10|1,16
269|1|11|10,12|1,15,16
270|1|11|10,13|1,83
271|1|11|10,14|1,83
272|1|11|10,15|1,15
273|1|11|10,16|83
274|1|11|10,17|1,83
275|1|11|11|14,30,68
276|1|11|11,12|11,62
277|1|11|11,13|14,30,68
278|1|11|11,14|14,30,68
279|1|11|11,15|1
280|1|11|11,16|11,30
281|1|11|11,17|14,68,81
282|1|11|12|11
283|1|11|12,15|1,11
284|1|11|12,16|1,11
285|1|11|12,17|11,81
286|1|11|13|14
287|1|11|13,14|14,31
288|1|11|13,15|1
289|1|11|13,16|30
290|1|11|13,17|14,31,81
291|1|11|14|11,14
292|1|11|14,16|11
293|1|11|14,17|14,31,81
294|1|11|15|1,11
295|1|11|15,16|1,11
296|1|11|15,17|1,81
297|1|11|16|30
298|1|11|16,17|30,81
299|1|11|17|4,81
300|1|1,2||17,50
301|1|1,2|1|1,5
302|1|1,2|1,3|1,17,42
303|1|1,2|1,4|5,76
304|1|1,2|1,5|1,81
