2650|2|2,9,10|4,14|56,80|замечательно
2651|2|2,9,10|4,15|62,79|ты даешь
2652|2|2,9,10|4,17|56,76|будь здоров
2653|2|2,9,10|5|56,62|кушай
2654|2|2,9,10|5,6|56,62|жри спокойно
2655|2|2,9,10|5,7|9,62|потом поиграем
2656|2|2,9,10|5,8|50,62|потом поучимся
2657|2|2,9,10|5,9|56,62|да подавись
2658|2|2,9,10|5,11|56,62|самое вкусное
2659|2|2,9,10|5,13|56,62|жри давай
2660|2|2,9,10|5,14|56,62,80|наелся
2661|2|2,9,10|5,16|9,62|ладно, ешь
2662|2|2,9,10|5,17|56,62,76|подлечись
2663|2|2,9,10|6|56,76|успокойся
2664|2|2,9,10|6,7|9,76|раазвеемся
2665|2|2,9,10|6,8|50,76|поучимся
2666|2|2,9,10|6,9|56,76|заглохни
2667|2|2,9,10|6,11|56,76|все ништяк
2668|2|2,9,10|6,13|56,76|не очкуй
2669|2|2,9,10|6,14|56,76,80|все чудесно
2670|2|2,9,10|6,16|9,76|расслабься
2671|2|2,9,10|6,17|56,76|будешь жить
2672|2|2,9,10|7|9,50|поиграем
2673|2|2,9,10|7,8|50|слабо
2674|2|2,9,10|7,10|9,56,73|подеремся
2675|2|2,9,10|7,11|9,50|непобедимый
2676|2|2,9,10|7,12|9,50|это чересчур
2677|2|2,9,10|7,13|9,50|побесимся
2678|2|2,9,10|7,14|9,50,80|давай играть
2679|2|2,9,10|7,15|50,62,79|осторожнее
2680|2|2,9,10|7,16|9,50|лучше поиграем
2681|2|2,9,10|7,17|9,50,76|можешь играть
2682|2|2,9,10|8|50,56|учи
2683|2|2,9,10|8,11|50,56|гениально
2684|2|2,9,10|8,12|50,56|бестолочь
2685|2|2,9,10|8,13|50,56|все узнаешь
2686|2|2,9,10|8,14|9,50,80|научу
2687|2|2,9,10|8,15|50,62,79|опасно
2688|2|2,9,10|8,16|50|лучше поучимся
2689|2|2,9,10|8,17|50,76|лечись
2690|2|2,9,10|9|50,56|все равно
2691|2|2,9,10|9,10|50,56,73|плевать
2692|2|2,9,10|9,12|50,56|надоел
2693|2|2,9,10|9,13|50,56|отстань
2694|2|2,9,10|9,14|50,56,80|не лезь
2695|2|2,9,10|9,15|50,62,79|ну нафиг
2696|2|2,9,10|9,16|1,50|бывает
2697|2|2,9,10|9,17|50,76|живи
2698|2|2,9,10|10|73,84|поделом
2699|2|2,9,10|10,12|50,73|изверг
2700|2|2,9,10|10,13|50,73|получил
2701|2|2,9,10|10,14|50,79,80|так тебе и надо
2702|2|2,9,10|10,15|50,62,79|нечаянно
2703|2|2,9,10|10,16|9,56|прикалываюсь
2704|2|2,9,10|10,17|76,79|потерпи
2705|2|2,9,10|11|1,50,56|ты хороший
2706|2|2,9,10|11,12|50,56|чертовски хорошо
2707|2|2,9,10|11,13|50,56|не дурно
2708|2|2,9,10|11,14|50,80|ты классный
2709|2|2,9,10|11,15|50,62,79|слишком хорошо
2710|2|2,9,10|11,16|1,50|ну ничего
2711|2|2,9,10|11,17|50,76|хорошо выглядишь
2712|2|2,9,10|12|1,56|плачу
2713|2|2,9,10|12,15|56,62|тошно
2714|2|2,9,10|12,16|50,56|не сердись
2715|2|2,9,10|12,17|56,76|пронесло
2716|2|2,9,10|13|1,56|смешно
2717|2|2,9,10|13,14|56,80|чудненько
2718|2|2,9,10|13,15|56,62,79|фыркнул
2719|2|2,9,10|13,16|50,56|усмехнулся
2720|2|2,9,10|13,17|56,76|как новенький
2721|2|2,9,10|14|79,80|радуюсь
2722|2|2,9,10|14,15|62,79,80|прикольно
2723|2|2,9,10|14,16|79,80|утешился
2724|2|2,9,10|14,17|76,79,80|оживил
2725|2|2,9,10|15|56,62|боюсь
2726|2|2,9,10|15,16|56,62|отходил
2727|2|2,9,10|15,17|56,62,76|ух пронесло
2728|2|2,9,10|16|9,50|прощаю
2729|2|2,9,10|16,17|9,76|на здоровье
2730|2|2,9,10|17|56,76|вылечил
