130|43|#|550
175|43|#|654
182|43|#|677
220|43|#|761
238|43|#|800
279|43|#|549
357|43|#|229
390|43|#|406
530|390|#|179
395|43|#|563
397|43|#|417
424|43|#|529
511|43|#|850
714|43|#|1151
723|43|#|1163
738|43|#|1073
745|43|#|1152
746|745|#|1224
747|43|#|1230
762|43|#|1283
763|43|#|1289
768|43|#|1295
770|43|#|1302
771|770|#|813
776|43|#|1313
785|43|#|1341
794|43|#|1357
807|43|#|1386
808|43|#|1388
829|43|#|1459
848|43|#|1506
853|43|#|1511
868|43|#|1542
877|43|#|1559
878|43|#|1562
888|43|#|1300
897|43|#|1606
898|897|#|1611
1092|897|#|1160
902|43|#|1605
903|43|#|1619
919|43|#|1643
950|43|#|1729
953|43|#|1738
993|43|#|1813
999|43|#|1821
1195|999|#|1845
1239|999|#|1846
1007|43|#|1839
1014|43|#|1849
1015|43|#|1855
1043|43|#|1938
1046|43|#|1943
1047|43|#|1952
1049|43|#|1960
1052|43|#|1964
1062|43|#|1984
1066|43|#|1990
1085|43|#|2031
1090|43|#|2043
1098|43|#|1075
1100|43|#|2051
1109|43|#|2060
1117|43|#|1989
1120|43|#|2059
1129|43|#|533
1141|43|#|2094
1144|43|#|1293
1145|43|#|1847
1146|43|#|2102
1147|43|#|2097
1148|43|#|2108
1149|43|#|2103
1152|43|#|2109
1178|43|#|1931
1180|43|#|2140
1190|43|#|2156
1199|43|#|1850
1205|43|#|99
1212|43|#|1983
1224|43|#|2159
1262|43|#|215
1263|1262|#|170
1291|43|#|2260
1292|43|#|2259
1364|43|#|1939
1386|43|#|1958
1387|1386|#|2354
1394|43|#|2268
47|0|#|245
48|47|#|248
95|47|#|399
49|0|#|255
191|49|#|211
50|0|#|257
438|50|#|291
51|0|#|259
52|51|#|264
53|52|#|267
880|51|#|1565
54|0|#|272
229|54|#|441
55|0|#|277
56|0|#|280
418|56|#|277
539|56|#|406
548|56|#|13
549|548|#|790
924|548|#|1620
790|56|#|1351
910|56|#|1631
57|0|#|284
58|0|#|288
59|58|#|291
60|0|#|258
61|60|#|264
62|61|#|267
63|61|#|292
327|60|#|1014
64|0|#|296
419|64|#|291
65|0|#|300
606|65|#|127
607|606|#|304
66|0|#|214
67|66|#|127
68|67|#|304
1376|66|#|2341
69|0|#|310
70|0|#|221
71|0|#|316
1005|71|#|1838
1035|71|#|1835
72|0|#|320
73|0|#|327
305|73|#|441
403|73|#|406
427|73|#|405
428|73|#|737
485|73|#|690
515|73|#|203
620|73|#|962
74|0|#|328
75|74|#|300
144|74|#|417
154|74|#|580
445|74|#|615
453|74|#|883
